类型,代码,名称,完整代码,市场
股票,000001,平安银行,000001.SZ,SZ
股票,000002,万科Ａ,000002.SZ,SZ
股票,000004,*ST国华,000004.SZ,SZ
股票,000006,深振业Ａ,000006.SZ,SZ
股票,000007,全新好,000007.SZ,SZ
股票,000008,神州高铁,000008.SZ,SZ
股票,000009,中国宝安,000009.SZ,SZ
股票,000010,美丽生态,000010.SZ,SZ
股票,000011,深物业A,000011.SZ,SZ
股票,000012,南玻Ａ,000012.SZ,SZ
股票,000014,沙河股份,000014.SZ,SZ
股票,000016,深康佳Ａ,000016.SZ,SZ
股票,000017,深中华A,000017.SZ,SZ
股票,000019,深粮控股,000019.SZ,SZ
股票,000020,深华发Ａ,000020.SZ,SZ
股票,000021,深科技,000021.SZ,SZ
股票,000025,特力Ａ,000025.SZ,SZ
股票,000026,飞亚达,000026.SZ,SZ
股票,000027,深圳能源,000027.SZ,SZ
股票,000028,国药一致,000028.SZ,SZ
股票,000029,深深房Ａ,000029.SZ,SZ
股票,000030,富奥股份,000030.SZ,SZ
股票,000031,大悦城,000031.SZ,SZ
股票,000032,深桑达Ａ,000032.SZ,SZ
股票,000034,神州数码,000034.SZ,SZ
股票,000035,中国天楹,000035.SZ,SZ
股票,000036,华联控股,000036.SZ,SZ
股票,000037,深南电A,000037.SZ,SZ
股票,000039,中集集团,000039.SZ,SZ
股票,000042,中洲控股,000042.SZ,SZ
股票,000045,深纺织Ａ,000045.SZ,SZ
股票,000048,京基智农,000048.SZ,SZ
股票,000049,德赛电池,000049.SZ,SZ
股票,000050,深天马Ａ,000050.SZ,SZ
股票,000055,方大集团,000055.SZ,SZ
股票,000056,皇庭国际,000056.SZ,SZ
股票,000058,深赛格,000058.SZ,SZ
股票,000059,华锦股份,000059.SZ,SZ
股票,000060,中金岭南,000060.SZ,SZ
股票,000061,农产品,000061.SZ,SZ
股票,000062,深圳华强,000062.SZ,SZ
股票,000063,中兴通讯,000063.SZ,SZ
股票,000065,北方国际,000065.SZ,SZ
股票,000066,中国长城,000066.SZ,SZ
股票,000068,华控赛格,000068.SZ,SZ
股票,000069,华侨城Ａ,000069.SZ,SZ
股票,000070,特发信息,000070.SZ,SZ
股票,000078,海王生物,000078.SZ,SZ
股票,000088,盐田港,000088.SZ,SZ
股票,000089,深圳机场,000089.SZ,SZ
股票,000090,天健集团,000090.SZ,SZ
股票,000096,广聚能源,000096.SZ,SZ
股票,000099,中信海直,000099.SZ,SZ
股票,000100,TCL科技,000100.SZ,SZ
股票,000151,中成股份,000151.SZ,SZ
股票,000153,丰原药业,000153.SZ,SZ
股票,000155,川能动力,000155.SZ,SZ
股票,000156,华数传媒,000156.SZ,SZ
股票,000157,中联重科,000157.SZ,SZ
股票,000158,常山北明,000158.SZ,SZ
股票,000159,国际实业,000159.SZ,SZ
股票,000166,申万宏源,000166.SZ,SZ
股票,000301,东方盛虹,000301.SZ,SZ
股票,000333,美的集团,000333.SZ,SZ
股票,000338,潍柴动力,000338.SZ,SZ
股票,000400,许继电气,000400.SZ,SZ
股票,000401,金隅冀东,000401.SZ,SZ
股票,000402,金融街,000402.SZ,SZ
股票,000403,派林生物,000403.SZ,SZ
股票,000404,长虹华意,000404.SZ,SZ
股票,000407,胜利股份,000407.SZ,SZ
股票,000408,藏格矿业,000408.SZ,SZ
股票,000409,云鼎科技,000409.SZ,SZ
股票,000410,沈阳机床,000410.SZ,SZ
股票,000411,英特集团,000411.SZ,SZ
股票,000415,渤海租赁,000415.SZ,SZ
股票,000417,合百集团,000417.SZ,SZ
股票,000419,通程控股,000419.SZ,SZ
股票,000420,吉林化纤,000420.SZ,SZ
股票,000421,南京公用,000421.SZ,SZ
股票,000422,湖北宜化,000422.SZ,SZ
