类型,代码,名称,完整代码,市场
港股,00001,长和,00001.HK,HK
港股,00002,中电控股,00002.HK,HK
港股,00003,香港中华煤气,00003.HK,HK
港股,00004,九龙仓集团,00004.HK,HK
港股,00005,汇丰控股,00005.HK,HK
港股,00006,电能实业,00006.HK,HK
港股,00007,智富资源投资,00007.HK,HK
港股,00008,电讯盈科,00008.HK,HK
港股,00010,恒隆集团,00010.HK,HK
港股,00012,恒基地产,00012.HK,HK
港股,00013,和黄医药,00013.HK,HK
港股,00014,希慎兴业,00014.HK,HK
港股,00016,新鸿基地产,00016.HK,HK
港股,00017,新世界发展,00017.HK,HK
港股,00018,东方企控集团,00018.HK,HK
港股,00019,太古股份公司A,00019.HK,HK
港股,00020,商汤-W,00020.HK,HK
港股,00021,大中华控股,00021.HK,HK
港股,00022,茂盛控股,00022.HK,HK
港股,00023,东亚银行,00023.HK,HK
港股,00025,CHEVALIER INT'L,00025.HK,HK
港股,00026,中华汽车,00026.HK,HK
港股,00027,银河娱乐,00027.HK,HK
港股,00028,天安,00028.HK,HK
港股,00029,达力集团,00029.HK,HK
港股,00030,云白国际,00030.HK,HK
港股,00031,航天控股,00031.HK,HK
港股,00032,港通控股,00032.HK,HK
港股,00033,INTL GENIUS,00033.HK,HK
港股,00034,九龙建业,00034.HK,HK
港股,00035,远东发展,00035.HK,HK
港股,00036,远东控股国际,00036.HK,HK
港股,00037,远东酒店实业,00037.HK,HK
港股,00038,第一拖拉机股份,00038.HK,HK
港股,00039,中国北大荒,00039.HK,HK
港股,00040,金山科技工业,00040.HK,HK
港股,00041,鹰君,00041.HK,HK
港股,00042,东北电气,00042.HK,HK
港股,00045,大酒店,00045.HK,HK
港股,00046,科联系统,00046.HK,HK
港股,00048,中国汽车内饰,00048.HK,HK
港股,00050,香港小轮(集团),00050.HK,HK
港股,00051,海港企业,00051.HK,HK
港股,00052,大快活集团,00052.HK,HK
港股,00053,国浩集团,00053.HK,HK
