类型,代码,名称,完整代码,市场
指数,000001,能源(长江),000001.CJ,CJ
指数,000001,上证指数,000001.SH,SH
指数,000002,原材料(长江),000002.CJ,CJ
指数,000002,A股指数,000002.SH,SH
指数,000003,工业(长江),000003.CJ,CJ
指数,000003,B股指数,000003.SH,SH
指数,000004,可选消费(长江),000004.CJ,CJ
指数,000004,工业指数,000004.SH,SH
指数,000005,必选消费(长江),000005.CJ,CJ
指数,000005,商业指数,000005.SH,SH
指数,000006,医疗(长江),000006.CJ,CJ
指数,000006,地产指数,000006.SH,SH
指数,000007,金融(长江),000007.CJ,CJ
指数,000007,公用指数,000007.SH,SH
指数,000008,信息技术与硬件(长江),000008.CJ,CJ
指数,000008,综合指数,000008.SH,SH
指数,000009,通讯业务(长江),000009.CJ,CJ
指数,000009,上证380,000009.SH,SH
指数,000010,公用事业及服务(长江),000010.CJ,CJ
指数,000010,上证180,000010.SH,SH
指数,000011,房地产及服务(长江),000011.CJ,CJ
指数,000015,红利指数,000015.SH,SH
指数,000016,上证50,000016.SH,SH
指数,000017,新综指,000017.SH,SH
指数,000018,180金融,000018.SH,SH
指数,000019,治理指数,000019.SH,SH
指数,000020,中型综指,000020.SH,SH
指数,000021,180治理,000021.SH,SH
指数,000025,180基建,000025.SH,SH
指数,000026,180资源,000026.SH,SH
指数,000027,180运输,000027.SH,SH
指数,000028,180成长,000028.SH,SH
指数,000029,180价值,000029.SH,SH
指数,000030,180R成长,000030.SH,SH
指数,000031,180R价值,000031.SH,SH
指数,000032,上证能源,000032.SH,SH
指数,000033,上证材料,000033.SH,SH
指数,000034,上证工业,000034.SH,SH
指数,000035,上证可选,000035.SH,SH
指数,000036,上证消费,000036.SH,SH
指数,000037,上证医药,000037.SH,SH
指数,000038,上证金融,000038.SH,SH
指数,000039,上证信息,000039.SH,SH
指数,000040,上证通信,000040.SH,SH
指数,000041,上证公用,000041.SH,SH
指数,000042,上证央企,000042.SH,SH
指数,000043,超大盘,000043.SH,SH
指数,000044,上证中盘,000044.SH,SH
指数,000045,上证小盘,000045.SH,SH
指数,000046,上证中小,000046.SH,SH
指数,000047,上证全指,000047.SH,SH
指数,000048,责任指数,000048.SH,SH
指数,000049,上证民企,000049.SH,SH
指数,000050,50等权,000050.SH,SH
指数,000051,180等权,000051.SH,SH
指数,000052,50基本,000052.SH,SH
指数,000053,180基本,000053.SH,SH
指数,000054,上证海外,000054.SH,SH
指数,000055,上证地企,000055.SH,SH
指数,000056,上证国企,000056.SH,SH
指数,000057,全指成长,000057.SH,SH
指数,000058,全指价值,000058.SH,SH
指数,000059,全R成长,000059.SH,SH
指数,000060,全R价值,000060.SH,SH
指数,000062,上证沪企,000062.SH,SH
指数,000063,上证周期,000063.SH,SH
指数,000064,非周期,000064.SH,SH
指数,000065,上证龙头,000065.SH,SH
指数,000066,上证商品,000066.SH,SH
指数,000067,上证新兴,000067.SH,SH
指数,000068,上证资源,000068.SH,SH
指数,000069,消费80,000069.SH,SH
指数,000070,能源等权,000070.SH,SH
指数,000071,材料等权,000071.SH,SH
指数,000072,工业等权,000072.SH,SH
指数,000073,可选等权,000073.SH,SH
指数,000074,消费等权,000074.SH,SH
指数,000075,医药等权,000075.SH,SH
指数,000076,金融等权,000076.SH,SH
指数,000077,信息等权,000077.SH,SH
指数,000078,通信等权,000078.SH,SH
指数,000079,公用等权,000079.SH,SH
指数,000090,上证流通,000090.SH,SH
指数,000091,沪财中小,000091.SH,SH
指数,000092,资源50,000092.SH,SH
指数,000093,180分层,000093.SH,SH
指数,000094,上证上游,000094.SH,SH
指数,000095,上证中游,000095.SH,SH
指数,000096,上证下游,000096.SH,SH
指数,000097,高端装备,000097.SH,SH
指数,000098,上证F200,000098.SH,SH
指数,000099,上证F300,000099.SH,SH
指数,000100,上证F500,000100.SH,SH
指数,000102,沪投资品,000102.SH,SH
指数,000103,沪消费品,000103.SH,SH
指数,000104,380能源,000104.SH,SH
指数,000105,380材料,000105.SH,SH
指数,000106,380工业,000106.SH,SH
指数,000107,380可选,000107.SH,SH
指数,000108,380消费,000108.SH,SH
指数,000109,380医药,000109.SH,SH
指数,000110,380金融,000110.SH,SH
指数,000111,380信息,000111.SH,SH
指数,000112,380电信,000112.SH,SH
指数,000113,380公用,000113.SH,SH
指数,000114,持续产业,000114.SH,SH
指数,000115,380等权,000115.SH,SH
指数,000117,380成长,000117.SH,SH
指数,000118,380价值,000118.SH,SH
指数,000119,380R成长,000119.SH,SH
指数,000120,380R价值,000120.SH,SH
指数,000121,医药主题,000121.SH,SH
指数,000122,上证农业,000122.SH,SH
指数,000123,上证180动态,000123.SH,SH
指数,000124,100等权,000124.SH,SH
指数,000125,上证180稳定,000125.SH,SH
指数,000126,消费50,000126.SH,SH
指数,000128,380基本,000128.SH,SH
指数,000129,180波动,000129.SH,SH
指数,000130,380波动,000130.SH,SH
指数,000131,上证高新,000131.SH,SH
指数,000132,上证100,000132.SH,SH
指数,000133,上证150,000133.SH,SH
指数,000134,上证银行,000134.SH,SH
指数,000135,上证180高贝塔,000135.SH,SH
指数,000136,上证180低贝塔,000136.SH,SH
指数,000137,上证380高贝塔,000137.SH,SH
指数,000138,上证380低贝塔,000138.SH,SH
指数,000141,上证380动态,000141.SH,SH
指数,000142,上证380稳定,000142.SH,SH
指数,000145,优势资源,000145.SH,SH
指数,000146,优势制造,000146.SH,SH
指数,000147,优势消费,000147.SH,SH
指数,000148,消费领先,000148.SH,SH
指数,000149,上证180红利,000149.SH,SH
指数,000150,上证380红利,000150.SH,SH
指数,000151,上国红利,000151.SH,SH
指数,000152,上证央企红利,000152.SH,SH
指数,000153,上证民企红利,000153.SH,SH
指数,000155,上证市值百强,000155.SH,SH
指数,000158,上证环保,000158.SH,SH
指数,000159,沪股通,000159.SH,SH
指数,000160,沪新丝路,000160.SH,SH
指数,000161,沪中国造,000161.SH,SH
指数,000162,沪互联+,000162.SH,SH
指数,000170,50AH优选,000170.SH,SH
指数,000171,新兴成指,000171.CSI,CSI
指数,000300,沪深300,000300.SH,SH
指数,000300CAD13,沪深300CAD(CNH)(LN),000300CAD13.CSI,CSI
指数,000300CAD14,沪深300(全)CAD(CNH)(LN),000300CAD14.CSI,CSI
指数,000300CAD15,沪深300(净)CAD(CNH)(LN),000300CAD15.CSI,CSI
指数,000300GBP00,沪深300GBP,000300GBP00.CSI,CSI
指数,000300GBP01,沪深300(全)GBP,000300GBP01.CSI,CSI
指数,000300GBP02,沪深300(净)GBP,000300GBP02.CSI,CSI
指数,000300HKD00,沪深300HKD,000300HKD00.CSI,CSI
指数,000300HKD01,沪深300(全)HKD,000300HKD01.CSI,CSI
指数,000300HKD02,沪深300(净)HKD,000300HKD02.CSI,CSI
指数,000300HKD07,沪深300HKD(CNH),000300HKD07.CSI,CSI
指数,000300HKD08,沪深300(全)HKD(CNH),000300HKD08.CSI,CSI
指数,000300USD13,沪深300USD(CNH)(LN),000300USD13.CSI,CSI
指数,000300USD14,沪深300(全)USD(CNH)(LN),000300USD14.CSI,CSI
指数,000300USD15,沪深300(净)USD(CNH)(LN),000300USD15.CSI,CSI
指数,000300USD16,沪深300USD(CNH)(NY),000300USD16.CSI,CSI
指数,000300USD17,沪深300(全)USD(CNH)(NY),000300USD17.CSI,CSI
指数,000300USD18,沪深300(净)USD(CNH)(NY),000300USD18.CSI,CSI
指数,000500,内地企业,000500.CSI,CSI
指数,000500CNY01,内地企业(全),000500CNY01.CSI,CSI
指数,000500HKD00,内地企业HKD,000500HKD00.CSI,CSI
指数,000500HKD01,内地企业(全)HKD,000500HKD01.CSI,CSI
指数,000500HKD07,内地企业HKD(CNH),000500HKD07.CSI,CSI
指数,000500HKD08,内地企业(全)HKD(CNH),000500HKD08.CSI,CSI
指数,000500USD00,内地企业(USD),000500USD00.CSI,CSI
指数,000500USD01,内地企业(全)USD,000500USD01.CSI,CSI
指数,000500USD07,内地企业USD(CNH),000500USD07.CSI,CSI
指数,000500USD08,内地企业(全)USD(CNH),000500USD08.CSI,CSI
指数,000501,中国1000(CNY),000501.CSI,CSI
指数,000501CNY01,中国1000(全)CNY,000501CNY01.CSI,CSI
指数,000501HKD00,中国1000HKD,000501HKD00.CSI,CSI
指数,000501HKD01,中国1000(全)HKD,000501HKD01.CSI,CSI
指数,000501HKD07,中国1000HKD(CNH),000501HKD07.CSI,CSI
指数,000501HKD08,中国1000(全)HKD(CNH),000501HKD08.CSI,CSI
指数,000501USD00,中国1000(USD),000501USD00.CSI,CSI
指数,000501USD01,中国1000(全)USD,000501USD01.CSI,CSI
指数,000501USD07,中国1000USD(CNH),000501USD07.CSI,CSI
指数,000501USD08,中国1000(全)USD(CNH),000501USD08.CSI,CSI
指数,000510,中证A500,000510.CSI,CSI
指数,000510,中证A500,000510.SH,SH
指数,000510CNY010,中证A500全收益,000510CNY010.CSI,CSI
指数,000510CNY020,中证A500净收益,000510CNY020.CSI,CSI
指数,000510HKD200,中证A500HKD,000510HKD200.CSI,CSI
指数,000510HKD210,中证A500(全)HKD,000510HKD210.CSI,CSI
指数,000510HKD220,中证A500(净)HKD,000510HKD220.CSI,CSI
指数,000510HKD300,中证A500HKD(CNH),000510HKD300.CSI,CSI
指数,000510HKD310,中证A500(全)HKD(CNH),000510HKD310.CSI,CSI
指数,000510HKD320,中证A500(净)HKD(CNH),000510HKD320.CSI,CSI
指数,000510USD200,中证A500USD,000510USD200.CSI,CSI
指数,000510USD210,中证A500(全)USD,000510USD210.CSI,CSI
指数,000510USD220,中证A500(净)USD,000510USD220.CSI,CSI
指数,000510USD300,中证A500USD(CNH),000510USD300.CSI,CSI
指数,000510USD310,中证A500(全)USD(CNH),000510USD310.CSI,CSI
指数,000510USD320,中证A500(净)USD(CNH),000510USD320.CSI,CSI
指数,000680,科创综指,000680.SH,SH
指数,000680CNY020,科创综指净收益,000680CNY020.SH,SH
指数,000681,科创价格,000681.SH,SH
指数,000682,科创信息,000682.SH,SH
指数,000682CNY01,科创信息全收益,000682CNY01.SH,SH
指数,000683,科创生物,000683.SH,SH
指数,000683CNY01,科创生物全收益,000683CNY01.SH,SH
指数,000683CNY02,科创生物净收益,000683CNY02.SH,SH
指数,000685,科创芯片,000685.SH,SH
指数,000685CNY01,科创芯片全收益,000685CNY01.SH,SH
指数,000685CNY02,科创芯片净收益,000685CNY02.SH,SH
指数,000687,科创高装,000687.SH,SH
指数,000687CNY01,科创高装全收益,000687CNY01.SH,SH
指数,000687CNY02,科创高装净收益,000687CNY02.SH,SH
指数,000688,科创50,000688.SH,SH
指数,000688CNY01,科创50(全),000688CNY01.SH,SH
指数,000688EUR00,科创50EUR,000688EUR00.CSI,CSI
指数,000688EUR01,科创50(全)EUR,000688EUR01.CSI,CSI
指数,000688EUR02,科创50(净)EUR,000688EUR02.CSI,CSI
指数,000688GBP00,科创50GBP,000688GBP00.CSI,CSI
指数,000688GBP01,科创50(全)GBP,000688GBP01.CSI,CSI
指数,000688GBP02,科创50(净)GBP,000688GBP02.CSI,CSI
指数,000688HKD00,科创50HKD,000688HKD00.CSI,CSI
指数,000688HKD01,科创50(全)HKD,000688HKD01.CSI,CSI
指数,000688USD00,科创50USD,000688USD00.CSI,CSI
指数,000688USD01,科创50(全)USD,000688USD01.CSI,CSI
指数,000688USD07,科创50USD(CNH),000688USD07.CSI,CSI
指数,000688USD08,科创50(全)USD(CNH),000688USD08.CSI,CSI
指数,000689,科创材料,000689.SH,SH
指数,000689CNY01,科创材料全收益,000689CNY01.SH,SH
指数,000689CNY02,科创材料净收益,000689CNY02.SH,SH
指数,000690,科创成长,000690.SH,SH
指数,000690CNY01,科创成长全收益,000690CNY01.SH,SH
指数,000690CNY02,科创成长净收益,000690CNY02.SH,SH
指数,000691,科创ESG,000691.SH,SH
指数,000691CNY010,科创ESG全收益,000691CNY010.SH,SH
指数,000692,科创新能,000692.SH,SH
指数,000692CNY01,科创新能全收益,000692CNY01.SH,SH
指数,000692CNY02,科创新能净收益,000692CNY02.SH,SH
指数,000693,科创机械,000693.SH,SH
指数,000693CNY01,科创机械全收益,000693CNY01.SH,SH
指数,000693CNY02,科创机械净收益,000693CNY02.SH,SH
指数,000695,科长三角,000695.SH,SH
指数,000695CNY01,科长三角全收益,000695CNY01.SH,SH
指数,000695CNY02,科长三角净收益,000695CNY02.SH,SH
指数,000697,科大湾区,000697.SH,SH
指数,000697CNY01,科大湾区全收益,000697CNY01.SH,SH
指数,000697CNY02,科大湾区净收益,000697CNY02.SH,SH
指数,000698,科创100,000698.SH,SH
指数,000698CNY010,科创100(全),000698CNY010.SH,SH
指数,000698CNY020,科创100(净),000698CNY020.SH,SH
指数,000698EUR200,科创100EUR,000698EUR200.SH,SH
指数,000698EUR210,科创100(全)EUR,000698EUR210.SH,SH
指数,000698GBP200,科创100GBP,000698GBP200.SH,SH
指数,000698GBP210,科创100(全)GBP,000698GBP210.SH,SH
指数,000698HKD200,科创100HKD,000698HKD200.SH,SH
指数,000698HKD210,科创100(全)HKD,000698HKD210.SH,SH
指数,000698USD200,科创100USD,000698USD200.SH,SH
指数,000698USD210,科创100(全)USD,000698USD210.SH,SH
指数,000698USD300,科创100USD(CNH),000698USD300.SH,SH
指数,000698USD310,科创100(全)USD(CNH),000698USD310.SH,SH
指数,000699,科创200,000699.SH,SH
指数,000699CNY010,科创200(全),000699CNY010.SH,SH
指数,000699CNY020,科创200(净),000699CNY020.SH,SH
指数,000801,资源80,000801.CSI,CSI
指数,000801,资源80(SH),000801.SH,SH
指数,000802,500沪市,000802.SH,SH
指数,000803,300波动,000803.CSI,CSI
指数,000803,300波动(SH),000803.SH,SH
指数,000804,500波动,000804.CSI,CSI
指数,000804,500波动(SH),000804.SH,SH
指数,000805,A股资源,000805.CSI,CSI
指数,000806,消费服务,000806.CSI,CSI
指数,000807,食品饮料,000807.CSI,CSI
指数,000808,医药生物,000808.CSI,CSI
指数,000811,细分有色,000811.CSI,CSI
指数,000811,细分有色(SH),000811.SH,SH
指数,000812,细分机械,000812.CSI,CSI
指数,000812,细分机械(SH),000812.SH,SH
指数,000813,细分化工,000813.CSI,CSI
指数,000813,细分化工(SH),000813.SH,SH
指数,000814,细分医药,000814.SH,SH
指数,000815,细分食品,000815.CSI,CSI
指数,000815,细分食品(SH),000815.SH,SH
指数,000816,细分地产,000816.CSI,CSI
指数,000818,细分金融,000818.CSI,CSI
指数,000818,细分金融(SH),000818.SH,SH
指数,000819,有色金属,000819.SH,SH
指数,000820,煤炭指数,000820.CSI,CSI
指数,000820,煤炭指数(SH),000820.SH,SH
指数,000821,沪深300红利,000821.CSI,CSI
指数,000822,中证500红利,000822.CSI,CSI
指数,000822,中证500红利(SH),000822.SH,SH
指数,000823,800有色,000823.SH,SH
指数,000824,中证国企红利,000824.CSI,CSI
指数,000824,中证国企红利(SH),000824.SH,SH
指数,000825,中证央企红利,000825.CSI,CSI
指数,000825,中证央企红利(SH),000825.SH,SH
指数,000826,中证民企红利,000826.CSI,CSI
指数,000826,中证民企红利(SH),000826.SH,SH
指数,000827,中证环保,000827.SH,SH
指数,000828,沪深300高贝塔,000828.CSI,CSI
指数,000829,沪深300低贝塔,000829.CSI,CSI
指数,000829,沪深300低贝塔(SH),000829.SH,SH
指数,000830,中证500高贝塔,000830.CSI,CSI
指数,000830,中证500高贝塔(SH),000830.SH,SH
指数,000831,中证500低贝塔,000831.CSI,CSI
指数,000831,中证500低贝塔(SH),000831.SH,SH
指数,000834,价值7030,000834.CSI,CSI
指数,000835,价值3070,000835.CSI,CSI
指数,000836,成长7030,000836.CSI,CSI
指数,000837,成长3070,000837.CSI,CSI
指数,000838,中证创业价值,000838.CSI,CSI
指数,000838,中证创业价值(SH),000838.SH,SH
指数,000839,中证浙企综指,000839.CSI,CSI
指数,000839,中证浙企综指(SH),000839.SH,SH
指数,000840,中证浙江民企,000840.CSI,CSI
指数,000840,中证浙江民企(SH),000840.SH,SH
指数,000841,800医药(二级),000841.CSI,CSI
指数,000842,中证800等权,000842.CSI,CSI
指数,000843,沪深300动态,000843.CSI,CSI
指数,000843,沪深300动态(SH),000843.SH,SH
指数,000844,沪深300稳定,000844.CSI,CSI
指数,000844,沪深300稳定(SH),000844.SH,SH
指数,000846,中证ESG100,000846.CSI,CSI
指数,000847,腾讯济安,000847.SH,SH
指数,000849,300非银,000849.SH,SH
指数,000851,百发100,000851.SH,SH
指数,000852,中证1000,000852.SH,SH
指数,000853,CSSW丝路,000853.SH,SH
指数,000854,中证500原料,000854.SH,SH
指数,000855,央视500,000855.SH,SH
指数,000856,中证500工业,000856.SH,SH
指数,000857,中证500医药,000857.SH,SH
指数,000858,中证500信息,000858.SH,SH
指数,000859,国企一带一路,000859.CSI,CSI
指数,000860,结构调整,000860.CSI,CSI
指数,000861,央企创新,000861.CSI,CSI
指数,000863,CS精准医,000863.SH,SH
指数,000865,上海国企,000865.SH,SH
指数,000867,港中小企,000867.SH,SH
指数,000869,HK银行(HKD),000869.SH,SH
指数,000888,上证收益,000888.SH,SH
指数,000891,新兴综指,000891.CSI,CSI
指数,000894,中证A100USD,000894.CSI,CSI
指数,000901,小康指数,000901.SH,SH
指数,000902,中证流通,000902.CSI,CSI
指数,000902,中证流通(SH),000902.SH,SH
指数,000903,中证A100,000903.SH,SH
指数,000903USD210,中证A100(全)USD,000903USD210.CSI,CSI
指数,000903USD220,中证A100(净)USD,000903USD220.CSI,CSI
指数,000904,中证200,000904.CSI,CSI
指数,000905,中证500,000905.SH,SH
指数,000905SEK200,中证500SEK,000905SEK200.CSI,CSI
指数,000906,中证800,000906.SH,SH
指数,000907,中证700,000907.CSI,CSI
指数,000907,中证700(SH),000907.SH,SH
指数,000908,300能源,000908.CSI,CSI
指数,000909,300材料,000909.CSI,CSI
指数,000910,300工业,000910.CSI,CSI
指数,000911,300可选,000911.CSI,CSI
指数,000912,300消费,000912.CSI,CSI
指数,000913,300医药,000913.SH,SH
