类型,代码,名称,完整代码,市场
港股指数,VHSI,恒指波幅指数,VHSI,HK
港股指数,HSTECH,恒生科技指数,HSTECH,HK
港股指数,H11144,HKT内地消费指数,H11144,HK
港股指数,H11140,香港红利指数,H11140,HK
港股指数,HSMOGI,恒生内地石油,HSMOGI,HK
港股指数,CES120,中华120指数,CES120,HK
港股指数,CESHKM,中华香港内地指数,CESHKM,HK
港股指数,SCCEA,沪深港通中国企业,SCCEA,HK
港股指数,HSMBI,恒生内地银行,HSMBI,HK
港股指数,HSCEI,国企指数,HSCEI,HK
港股指数,H11153,内地国企指数,H11153,HK
港股指数,H11123,香港内地股指数,H11123,HK
港股指数,CESA80,中华A80指数,CESA80,HK
港股指数,HSC,恒生工商指数,HSC,HK
港股指数,H11152,内地民企指数,H11152,HK
港股指数,HSCEESG,恒生国指ESG指数,HSCEESG,HK
港股指数,SPHKL,香港大型股指数,SPHKL,HK
港股指数,CES300,中华沪港通300,CES300,HK
港股指数,CES280,中华280指数,CES280,HK
港股指数,CESCPD,中华内房股,CESCPD,HK
港股指数,H11143,HKT内地地产指数,H11143,HK
港股指数,HSCCI,恒生红筹指数,HSCCI,HK
港股指数,H11110,香港基本面50指数,H11110,HK
港股指数,SPHKG,香港创业板指数,SPHKG,HK
港股指数,CESP50,中华港股通优选50,CESP50,HK
港股指数,HSI,恒生指数,HSI,HK
港股指数,H11100,香港100指数,H11100,HK
港股指数,CESFHY,中华预期高息股,CESFHY,HK
港股指数,HSU,恒生公用事业指数,HSU,HK
港股指数,H11120,香港中盘精选指数,H11120,HK
港股指数,HSIESG,恒指ESG指数,HSIESG,HK
港股指数,HSMPI,恒生内地地产,HSMPI,HK
港股指数,CES100,港股通精选100,CES100,HK
港股指数,HSBIO,恒生生物科技指数,HSBIO,HK
港股指数,HSIESGS,恒指ESG增强指数,HSIESGS,HK
港股指数,HSF,恒生金融分类指数,HSF,HK
港股指数,CESHKB,中华香港生物科技,CESHKB,HK
港股指数,HSP,恒生地产分类指数,HSP,HK
港股指数,CESG10,中华博彩指数,CESG10,HK
